"YEAR","COUNTRY","SEX","RATE_PER_100000_N","RATE_PER_100000_NL","RATE_PER_100000_NU"
2019,"Afghanistan","FEMALE",3.35544,1.58852,6.32627
2019,"Africa","FEMALE",4.70471,2.47045,8.22866
2019,"Albania","FEMALE",2.1018,1.20422,3.37819
2019,"Algeria","FEMALE",0.78211,0.38527,1.43395
2019,"Americas","FEMALE",4.75864,3.59397,6.37704
2019,"Angola","FEMALE",3.26631,1.33831,6.51263
2019,"Antigua and Barbuda","FEMALE",1.21299,0.83224,1.70151
2019,"Argentina","FEMALE",1.87519,1.40049,2.45199
2019,"Armenia","FEMALE",1.50173,1.02341,2.11657
2019,"Australia","FEMALE",0.66419,0.52728,0.83076
2019,"Austria","FEMALE",0.49611,0.39204,0.61756
2019,"Azerbaijan","FEMALE",1.07465,0.54351,1.94136
2019,"Bahamas","FEMALE",9.64619,6.44793,13.87164
2019,"Bahrain","FEMALE",0.28159,0.14658,0.48922
2019,"Bangladesh","FEMALE",1.54637,0.81119,2.68047
2019,"Barbados","FEMALE",5.96071,4.0357,8.46437
2019,"Belarus","FEMALE",1.71241,1.19545,2.38683
2019,"Belgium","FEMALE",1.13584,0.90205,1.40904
2019,"Belize","FEMALE",9.04534,6.39057,12.52745
2019,"Benin","FEMALE",2.88841,1.31609,5.59587
2019,"Bhutan","FEMALE",1.27145,0.56366,2.36415
2019,"Bolivia (Plurinational State of)","FEMALE",3.08692,1.41592,5.68836
2019,"Bosnia and Herzegovina","FEMALE",0.76269,0.4093,1.27672
2019,"Botswana","FEMALE",4.81563,2.13041,9.17972
2019,"Brazil","FEMALE",5.82343,5.35047,6.33133
2019,"Brunei Darussalam","FEMALE",0.4782,0.26277,0.79982
2019,"Bulgaria","FEMALE",0.68653,0.49144,0.92887
2019,"Burkina Faso","FEMALE",5.6334,2.72712,10.51798
2019,"Burundi","FEMALE",3.12379,1.32685,6.28992
2019,"Cabo Verde","FEMALE",6.19915,3.22853,10.57068
2019,"Cambodia","FEMALE",0.76857,0.35696,1.44493
2019,"Cameroon","FEMALE",2.72914,1.15736,5.42793
2019,"Canada","FEMALE",0.84686,0.6146,1.1453
2019,"Central African Republic","FEMALE",8.03381,3.78936,15.16504
2019,"Chad","FEMALE",4.00098,1.96401,7.28381
2019,"Chile","FEMALE",1.02497,0.74568,1.37246
2019,"China","FEMALE",0.69985,0.54057,0.88612
2019,"Colombia","FEMALE",6.86019,4.49069,10.77803
2019,"Comoros","FEMALE",3.80553,1.48799,7.57521
2019,"Congo","FEMALE",4.08677,1.79756,8.01371
2019,"Costa Rica","FEMALE",2.61087,1.695,3.79249
2019,"Croatia","FEMALE",0.87151,0.61613,1.20796
2019,"Cuba","FEMALE",2.28878,1.58185,3.21368
2019,"Cyprus","FEMALE",1.15516,0.76196,1.67979
2019,"Czechia","FEMALE",0.47207,0.34502,0.63161
2019,"Côte d'Ivoire","FEMALE",9.3209,4.11295,18.37522
2019,"Democratic People's Republic of Korea","FEMALE",3.18085,1.51716,5.86841
2019,"Democratic Republic of the Congo","FEMALE",5.371,2.56694,9.99025
2019,"Denmark","FEMALE",0.67368,0.52056,0.85333
2019,"Djibouti","FEMALE",3.20508,1.24898,6.55824
2019,"Dominican Republic","FEMALE",4.97074,2.55729,8.72829
2019,"Eastern Mediterranean","FEMALE",2.73664,1.3994,5.16722
2019,"Ecuador","FEMALE",2.45828,1.43377,3.91974
2019,"Egypt","FEMALE",1.7388,0.80907,3.38146
2019,"El Salvador","FEMALE",53.78262,29.17693,90.15742
2019,"Equatorial Guinea","FEMALE",1.06843,0.36891,2.40429
2019,"Eritrea","FEMALE",4.5984,2.13492,8.72477
2019,"Estonia","FEMALE",1.17193,0.81532,1.62989
2019,"Eswatini","FEMALE",7.57579,2.99313,15.59519
2019,"Ethiopia","FEMALE",3.71959,2.33302,5.69533
2019,"Europe","FEMALE",1.48938,1.12444,1.9551
2019,"Fiji","FEMALE",1.03886,0.49678,1.92943
2019,"Finland","FEMALE",1.02063,0.80234,1.26958
2019,"France","FEMALE",0.63187,0.49483,0.79462
2019,"Gabon","FEMALE",2.94645,1.18384,5.91999
2019,"Gambia","FEMALE",1.99799,0.97163,3.76857
2019,"Georgia","FEMALE",1.0592,0.71786,1.50852
2019,"Germany","FEMALE",0.85955,0.69323,1.0488
2019,"Ghana","FEMALE",4.60362,2.13816,8.69921
2019,"Greece","FEMALE",0.6012,0.47356,0.7459
2019,"Grenada","FEMALE",2.10815,1.44697,2.96765
2019,"Guatemala","FEMALE",7.60238,5.28424,10.58997
2019,"Guinea","FEMALE",4.46399,2.10956,8.25021
2019,"Guinea-Bissau","FEMALE",5.23166,2.31237,10.26724
2019,"Guyana","FEMALE",9.89612,6.272,14.80484
2019,"Haiti","FEMALE",8.31626,2.21019,17.79243
2019,"High-income economies","FEMALE",1.11471,0.95009,1.31924
2019,"Honduras","FEMALE",37.14684,18.97894,64.77038
2019,"Hungary","FEMALE",1.10901,0.81515,1.47705
2019,"Iceland","FEMALE",1.09087,0.83494,1.39799
2019,"India","FEMALE",1.90599,1.41083,2.52604
2019,"Indonesia","FEMALE",2.54813,1.89352,3.40991
2019,"Iran (Islamic Republic of)","FEMALE",1.18963,0.98539,1.42066
2019,"Iraq","FEMALE",8.05996,4.25658,14.02707
2019,"Ireland","FEMALE",0.4316,0.33468,0.54939
2019,"Israel","FEMALE",0.67356,0.53057,0.84167
2019,"Italy","FEMALE",0.4423,0.39558,0.48605
2019,"Jamaica","FEMALE",21.27599,13.70977,31.23689
2019,"Japan","FEMALE",0.1829,0.16072,0.20185
2019,"Jordan","FEMALE",1.46973,0.78203,2.50701
2019,"Kazakhstan","FEMALE",2.13544,1.53258,2.89211
2019,"Kenya","FEMALE",2.1587,1.48648,3.0631
2019,"Kiribati","FEMALE",2.323,1.08547,4.47546
2019,"Kuwait","FEMALE",0.70275,0.4521,1.09188
2019,"Kyrgyzstan","FEMALE",1.91294,1.34886,2.63108
2019,"Lao People's Democratic Republic","FEMALE",3.79742,1.76562,6.94729
2019,"Latvia","FEMALE",2.85761,1.97663,4.05662
2019,"Lebanon","FEMALE",1.79002,0.85413,3.27863
